001	126	182	105	210	2	8
001	87	160	108	216	2	8
001	410	175	56	111	2	4
001	477	170	54	108	2	4
001	507	176	55	109	2	4
001	536	158	72	144	2	4
011	163	172	100	200	2	8
011	131	161	104	207	2	8
011	388	175	55	110	2	4
011	455	168	55	109	2	4
011	490	176	55	110	2	4
011	513	149	77	153	2	4
021	171	153	103	206	2	8
021	207	175	99	197	2	8
021	362	172	60	120	2	4
021	439	168	57	114	2	4
021	469	167	63	126	2	4
021	500	156	76	152	2	3
031	207	146	101	202	2	8
031	250	165	97	193	2	8
031	343	169	58	116	2	4
031	420	166	59	117	2	4
031	455	167	60	119	2	4
031	490	149	83	166	2	3
041	241	146	97	194	2	8
041	287	163	94	188	2	8
041	400	161	59	118	2	4
041	436	163	65	130	2	4
041	481	140	87	174	2	3
051	274	144	95	189	2	8
051	324	165	87	174	2	8
051	383	164	61	121	2	4
051	422	164	63	125	2	4
051	463	144	91	181	2	3
061	25	184	82	164	2	8
061	284	168	66	131	2	4
061	308	149	91	182	2	8
061	366	164	84	167	2	8
061	448	136	97	193	2	3
061	410	167	64	128	2	4
071	269	166	66	132	2	3
071	57	185	74	148	2	7
071	342	143	89	177	2	8
071	400	163	83	165	2	8
071	426	132	105	209	2	3
081	85	186	74	147	2	7
081	257	165	74	147	2	3
081	329	161	70	140	2	4
081	380	153	84	167	2	8
081	406	149	103	205	2	4
081	-3	153	88	175	2	8
091	28	151	87	173	2	8
091	102	186	73	146	2	7
091	238	173	71	141	2	3
091	311	165	68	136	2	4
091	352	171	71	141	2	3
091	356	146	111	222	2	4
091	452	165	79	157	2	8
101	418	148	81	161	2	8
101	457	164	77	154	2	8
101	302	138	118	235	2	4
101	204	168	73	145	2	3
101	276	163	70	139	2	4
101	110	179	66	132	2	7
101	42	148	83	166	2	8
111	259	148	119	238	2	4
111	186	172	75	150	2	3
111	129	180	65	129	2	7
111	72	152	83	166	2	8
111	448	156	78	155	2	8
111	481	170	71	142	2	7
121	203	145	126	252	2	4
121	149	179	77	154	2	3
121	97	152	80	159	2	8
121	284	177	77	154	2	4
121	460	158	75	150	2	8
121	492	170	71	141	2	8
131	161	150	135	270	2	4
131	121	181	80	160	2	3
131	162	180	64	127	2	7
131	112	158	76	152	2	8
131	260	175	81	162	2	4
131	479	160	73	146	2	8
131	513	174	68	136	2	7
141	93	183	80	160	2	4
141	230	172	88	176	2	4
141	199	174	77	154	2	4
141	107	155	142	284	2	4
141	493	160	71	142	2	7
141	527	171	66	132	2	7
151	49	148	155	310	2	4
151	52	179	85	170	2	3
151	196	175	88	176	2	4
151	167	178	76	152	2	4
151	508	162	66	132	2	7
151	543	174	63	126	2	7
161	2	148	162	324	2	4
161	170	171	95	190	2	4
161	137	171	81	161	2	4
161	103	167	82	164	2	4
161	522	163	64	128	2	7
161	556	172	60	120	2	7
171	133	170	100	199	2	4
171	112	166	84	167	2	4
171	72	164	86	172	2	5
171	223	176	55	110	2	7
171	529	153	67	133	2	7
171	573	173	59	117	2	7
181	97	176	102	203	2	4
181	82	177	85	169	2	4
181	33	170	86	171	2	5
181	179	156	66	131	2	7
181	238	182	52	104	2	7
181	549	165	63	125	5	7
181	589	177	57	113	5	7
191	63	177	104	207	2	4
191	46	167	91	181	2	4
191	187	147	66	131	2	7
191	246	175	54	107	2	7
191	561	158	62	124	5	7
191	596	173	55	110	5	7
201	192	149	67	134	2	7
201	253	179	51	101	2	7
201	20	172	118	235	2	4
201	562	160	63	125	5	7
201	599	169	57	113	5	7
211	206	150	66	131	2	7
211	259	177	50	100	2	7
211	559	153	62	123	5	7
211	604	166	56	111	5	7
221	222	152	63	126	2	7
221	272	177	51	101	2	7
221	563	152	58	116	5	7
221	615	168	52	104	5	7
231	216	153	61	122	2	7
231	263	175	50	99	2	7
231	551	149	58	115	5	7
231	602	160	54	107	5	7
241	219	150	61	121	2	7
241	271	176	48	95	2	7
241	534	151	57	114	5	6
241	592	160	52	104	5	6
251	227	151	59	117	2	7
251	269	172	49	98	2	7
251	526	152	56	112	5	6
251	578	160	51	102	5	6
261	228	147	60	120	2	7
261	278	176	45	90	2	7
261	510	148	57	114	5	6
261	566	150	53	106	5	6
271	219	146	58	116	2	7
271	272	169	45	90	2	7
271	494	147	55	110	5	6
271	542	149	53	106	5	5
271	50	161	113	226	2	8
281	13	155	112	224	2	8
281	117	165	103	206	2	8
281	224	145	59	117	2	7
281	273	171	42	84	2	7
281	480	147	55	110	5	5
281	525	153	50	100	5	5
291	83	152	105	209	2	8
291	188	155	100	200	2	8
291	474	145	52	104	5	5
291	510	149	50	100	5	5
291	273	170	42	83	2	7
291	230	148	52	104	2	7
301	151	152	97	193	2	8
301	257	152	95	190	2	8
301	219	141	54	108	2	7
301	465	147	51	102	5	5
301	498	150	45	89	5	5
311	212	152	95	189	2	8
311	336	156	83	165	2	8
311	463	143	52	104	5	6
311	486	153	45	89	5	6
321	272	146	86	171	2	8
321	389	153	79	157	2	8
321	212	144	52	104	5	6
321	270	157	41	82	5	6
321	453	137	51	102	5	6
331	451	150	73	146	2	8
331	329	148	77	153	2	8
331	267	155	41	82	5	6
331	205	138	53	105	5	6
341	368	142	78	156	2	8
341	491	151	71	141	2	8
341	190	144	50	99	5	6
341	260	154	42	83	5	6
351	406	150	71	142	2	8
351	530	150	71	141	2	8
351	183	139	50	99	5	7
351	265	158	38	76	5	7
